Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
1,"New York city, New York","8,804,199","8,740,292","8,462,216","8,335,798","8,258,035"
2,"Los Angeles city, California","3,898,841","3,895,848","3,832,573","3,822,782","3,820,914"
3,"Chicago city, Illinois","2,746,352","2,743,329","2,704,101","2,672,660","2,664,452"
4,"Houston city, Texas","2,300,833","2,299,269","2,291,020","2,302,488","2,314,157"
5,"Phoenix city, Arizona","1,608,215","1,612,459","1,625,187","1,643,899","1,650,070"
6,"Philadelphia city, Pennsylvania","1,603,793","1,600,684","1,589,623","1,566,836","1,550,542"
7,"San Antonio city, Texas","1,434,306","1,439,257","1,454,003","1,473,325","1,495,295"
8,"San Diego city, California","1,386,972","1,386,292","1,376,142","1,387,378","1,388,320"
9,"Dallas city, Texas","1,304,182","1,303,212","1,289,705","1,297,358","1,302,868"
10,"Jacksonville city, Florida","949,618","951,880","957,410","971,777","985,843"
11,"Austin city, Texas","961,893","965,827","969,608","975,418","979,882"
12,"Fort Worth city, Texas","918,907","923,602","937,590","957,103","978,468"
13,"San Jose city, California","1,013,241","1,009,319","981,214","972,082","969,655"
14,"Columbus city, Ohio","905,939","906,418","903,184","908,238","913,175"
15,"Charlotte city, North Carolina","874,629","875,752","883,012","895,704","911,311"
16,"Indianapolis city (balance), Indiana","887,648","887,177","882,325","880,397","879,293"
17,"San Francisco city, California","873,950","870,518","811,935","807,774","808,988"
18,"Seattle city, Washington","737,018","740,565","731,757","749,134","755,078"
19,"Denver city, Colorado","715,524","717,606","711,467","713,453","716,577"
20,"Oklahoma City city, Oklahoma","681,091","683,078","688,531","695,178","702,767"
21,"Nashville-Davidson metropolitan government (balance), Tennessee","689,454","689,700","675,578","682,130","687,788"
22,"Washington city, District of Columbia","689,548","670,839","669,037","670,949","678,972"
23,"El Paso city, Texas","678,862","679,255","678,271","677,788","678,958"
24,"Las Vegas city, Nevada","644,883","646,794","650,827","656,191","660,929"
25,"Boston city, Massachusetts","678,617","675,466","657,283","653,243","653,833"
26,"Detroit city, Michigan","639,475","638,300","633,738","631,366","633,218"
27,"Portland city, Oregon","652,521","653,344","643,179","634,668","630,498"
28,"Louisville/Jefferson County metro government (balance), Kentucky","631,976","631,912","627,031","623,630","622,981"
29,"Memphis city, Tennessee","635,425","635,225","629,493","623,840","618,639"
30,"Baltimore city, Maryland","585,690","583,157","576,578","569,107","565,239"
31,"Milwaukee city, Wisconsin","577,893","577,207","566,557","563,632","561,385"
32,"Albuquerque city, New Mexico","564,584","564,888","563,354","561,368","560,274"
33,"Tucson city, Arizona","542,658","542,638","541,217","546,500","547,239"
34,"Fresno city, California","542,248","542,710","544,175","545,253","545,716"
35,"Sacramento city, California","524,925","525,528","525,502","525,297","526,384"
36,"Mesa city, Arizona","504,296","505,890","509,287","512,264","511,648"
37,"Atlanta city, Georgia","498,736","499,896","492,690","498,771","510,823"
38,"Kansas City city, Missouri","507,978","508,220","509,080","509,129","510,704"
39,"Colorado Springs city, Colorado","479,021","480,331","483,369","486,304","488,664"
40,"Omaha city, Nebraska","491,870","492,758","488,626","485,132","483,335"
41,"Raleigh city, North Carolina","467,867","465,354","470,813","473,423","482,295"
42,"Miami city, Florida","442,260","442,827","441,869","450,014","455,924"
43,"Virginia Beach city, Virginia","459,476","459,684","458,569","455,069","453,649"
44,"Long Beach city, California","466,772","465,585","455,449","452,931","449,468"
